Orgs that came for 1 yrs :


advancedconceptsteam : 1 (yrs : 10 )
aerospaceresearchnet : 1 (yrs : 13 )
aqsis1 : 1 (yrs : 9 )
articast : 1 (yrs : 12 )
astrometry : 1 (yrs : 11 )
atheme : 1 (yrs : 9 )
atomicblue : 1 (yrs : 11 )
audacity : 1 (yrs : 9 )
beagle : 1 (yrs : 13 )
beagleboard : 1 (yrs : 10 )
beamcommunity : 1 (yrs : 13 )
bigbluebutton_soc : 1 (yrs : 10 )
bioconductor : 1 (yrs : 13 )
biographer : 1 (yrs : 12 )
boinc : 1 (yrs : 12 )
buildroot : 1 (yrs : 13 )
bzflag : 1 (yrs : 9 )
catroid : 1 (yrs : 11 )
catroid_project : 1 (yrs : 13 )
catroidproject : 1 (yrs : 12 )
ccan : 1 (yrs : 9 )
ccharles : 1 (yrs : 9 )
ccm : 1 (yrs : 13 )
cernvm : 1 (yrs : 11 )
cesium : 1 (yrs : 13 )
chromiumos : 1 (yrs : 10 )
clojure : 1 (yrs : 12 )
clojure_dev : 1 (yrs : 13 )
coresystems : 1 (yrs : 9 )
cosm : 1 (yrs : 13 )
creativecommons : 1 (yrs : 10 )
cryptostick : 1 (yrs : 13 )
darktable : 1 (yrs : 11 )
dhis2 : 1 (yrs : 13 )
dlang : 1 (yrs : 12 )
dojo : 1 (yrs : 10 )
dokuwiki : 1 (yrs : 11 )
dprogramminglanguage : 1 (yrs : 11 )
dragonfly : 1 (yrs : 10 )
dreamwidth : 1 (yrs : 10 )
dspace : 1 (yrs : 9 )
dukeleto : 1 (yrs : 9 )
dune : 1 (yrs : 13 )
e_cidadania : 1 (yrs : 12 )
eff : 1 (yrs : 9 )
eff_tor : 1 (yrs : 12 )
elgg : 1 (yrs : 11 )
enlightenment : 1 (yrs : 9 )
esos : 1 (yrs : 9 )
evergreen_ils : 1 (yrs : 11 )
expertlabs : 1 (yrs : 10 )
facebook : 1 (yrs : 10 )
ffmpeg_libav : 1 (yrs : 11 )
ffopenwrt : 1 (yrs : 9 )
fibercorps : 1 (yrs : 11 )
fiji : 1 (yrs : 9 )
fluxbox : 1 (yrs : 11 )
freedroid : 1 (yrs : 10 )
freedroidrpg : 1 (yrs : 11 )
fsij : 1 (yrs : 9 )
fsl : 1 (yrs : 12 )
funf : 1 (yrs : 13 )
ganeti : 1 (yrs : 13 )
gnss_sdr : 1 (yrs : 13 )
gnucash : 1 (yrs : 11 )
gnuproject : 1 (yrs : 10 )
gnuradio : 1 (yrs : 13 )
go_oo : 1 (yrs : 10 )
google_caja : 1 (yrs : 10 )
gstreamer : 1 (yrs : 12 )
hackystat : 1 (yrs : 9 )
hiit : 1 (yrs : 11 )
idi_atrc : 1 (yrs : 10 )
ifc_uiowa : 1 (yrs : 13 )
ims : 1 (yrs : 13 )
ipxe : 1 (yrs : 12 )
isabelle : 1 (yrs : 11 )
jcleeland : 1 (yrs : 9 )
jimg : 1 (yrs : 11 )
jitsi : 1 (yrs : 11 )
jpf : 1 (yrs : 10 )
k9 : 1 (yrs : 11 )
karlberry : 1 (yrs : 9 )
languagetool : 1 (yrs : 11 )
larrygritz : 1 (yrs : 9 )
lg : 1 (yrs : 13 )
